time,duration,x,y,avg_dilation
134583,100,88,250,0.077598214
134743,100,77,256,0.022098214
134962,100,80,230,0.049098214
135361,359,38,223,
135760,259,41,222,0.094098214
136039,179,42,238,
136318,100,54,250,0.041098214
136836,578,70,563,
137554,100,55,311,0.063598214
137694,119,42,249,0.070098214
138212,279,59,267,0.130598214
138810,279,67,252,0.294598214
139109,179,85,274,0.239098214
139428,339,424,255,0.274598214
139787,139,459,233,0.168598214
139946,319,455,238,0.109598214
140345,140,75,216,0.107098214
140664,459,271,233,0.139598214
141242,259,278,241,0.086598214
141522,179,273,233,0.034401786
141821,100,254,284,0.094098214
141940,199,256,267,0.046598214
142160,140,264,250,0.065098214
142339,159,277,255,0.029901786
142718,120,49,263,
143435,120,62,535,0.006598214
144233,140,60,514,0.008401786
144732,100,41,505,
145150,100,72,515,0.267598214
146187,140,97,532,0.233598214
146944,100,182,207,0.242598214
147164,259,275,214,0.268598214
147463,120,505,298,0.275598214
148500,279,387,217,
148799,159,310,202,0.103901786
148978,199,440,225,0.002098214
149197,479,456,217,0.069098214
149796,638,37,198,0.055098214
150473,140,406,203,0.086598214
150733,339,446,216,0.060098214
151111,160,110,223,0.097401786
151311,299,72,230,0.082401786
151690,219,284,247,0.002901786
151929,120,280,236,0.023598214
152108,140,47,535,0.007098214
152268,120,60,551,0.010598214
152407,120,60,540,0.026598214
152886,140,82,553,0.045598214
153045,379,90,545,9.82E-05
153524,100,92,557,0.037098214
153823,100,93,561,0.088598214
154002,199,97,571,0.048098214
154381,279,88,543,
154700,100,79,248,0.022401786
154959,140,85,216,
155338,179,74,286,0.226598214
155717,199,287,247,0.110098214
156654,120,112,556,
157033,179,107,575,
157452,100,105,592,
157571,100,95,558,
159724,140,131,644,0.038901786
160243,219,96,625,0.036401786
161419,179,102,653,0.047098214
161718,239,76,663,9.82E-05
162575,100,71,661,0.089598214
162735,120,128,659,0.007401786
164190,219,78,554,0.031598214
164470,120,130,619,
165387,100,223,650,0.115401786
165766,199,304,648,
167181,179,139,682,0.081901786
167580,119,152,673,
168537,100,245,709,0.012901786
169673,100,115,637,0.086401786
170092,139,87,639,0.012401786
170291,100,87,629,0.061401786
170491,100,81,661,0.023401786
171049,100,117,643,0.052098214
171667,120,119,672,0.062598214
172345,120,117,655,0.081598214
172484,140,119,647,0.004901786
172963,219,107,681,0.091098214
173342,100,51,718,0.069401786
173601,239,85,715,0.088098214
173900,159,117,723,0.115901786
174079,100,111,715,0.087098214
175555,120,140,726,0.147598214
175754,100,134,731,0.014098214
175993,120,130,704,0.004901786
176133,100,118,714,0.119098214
176253,100,139,716,0.067598214
176472,140,138,719,0.089598214
176751,100,136,276,
177150,100,100,293,0.075098214
177289,319,283,268,0.069098214
177628,100,451,269,
177748,299,449,273,0.156098214
178187,140,153,272,0.027401786
178426,100,271,245,0.059098214
178545,100,271,252,0.012901786
