number,time,duration,x,y,avg_dilation
183,101499,100,330,582,0.08290178571428619
184,101678,100,328,589,0.04990178571428583
185,102197,159,393,611,0.2004017857142859
186,102695,100,492,616,0.10840178571428583
187,102994,100,503,639,0.06790178571428562
188,103114,159,504,607,0.07740178571428569
189,103812,100,370,572,0.04840178571428577
190,104011,259,420,522,0.18140178571428578
191,105028,120,389,632,0.19090178571428584
192,105686,100,503,633,0.07040178571428601
193,105805,179,503,646,0.06140178571428567
194,106284,159,388,660,0.08990178571428586
195,106563,120,348,656,
196,107081,160,378,652,0.04090178571428593
197,107281,159,444,615,0.06890178571428596
198,107580,100,447,635,0.027401785714285865
199,109175,160,440,439,0.14040178571428585
200,109574,100,355,586,0.01240178571428574
201,109773,160,335,622,0.0414017857142861
202,110690,179,448,493,
203,110909,259,453,514,0.02890178571428592
204,111986,478,406,476,
205,113162,219,412,496,
206,113481,140,465,454,
207,113840,100,408,511,
208,113960,219,413,501,
209,114478,279,427,432,0.2284017857142855
210,114817,100,314,581,0.07740178571428613
211,114997,179,328,580,
212,115236,120,342,582,
213,115375,159,317,585,
214,115595,359,318,580,0.11240178571428583
215,116193,120,289,422,0.057901785714285836
216,117568,180,346,513,0.14590178571428591
217,118466,159,812,581,0.13190178571428568
218,119243,299,967,634,0.005401785714286067
219,119881,219,889,738,0.14159821428571373
220,120679,279,956,698,0.13909821428571378
221,121975,140,473,492,0.05509821428571415
222,122134,100,499,420,0.02890178571428592
223,122274,120,523,428,0.17540178571428555
224,122872,140,291,542,0.015598214285714285
225,123430,120,315,435,0.1429017857142858
226,123630,140,544,420,0.1844017857142859
227,124427,100,962,736,0.15640178571428587
228,125185,120,1067,579,0.06840178571428623
229,126879,100,881,649,0.05159821428571432
230,127099,120,962,638,0.040401785714285765
231,129252,359,960,688,0.11909821428571421
232,130229,239,1073,767,0.0844017857142858
233,132083,120,924,719,0.0179017857142858
234,132342,120,914,747,0.02459821428571418
235,135333,100,899,737,0.0634017857142859
236,135712,100,910,773,0.028098214285714018
237,136888,299,933,703,0.017598214285714064
238,138383,100,934,805,0.21190178571428575
239,138882,120,962,617,0.16690178571428582
240,139241,140,969,592,0.08940178571428614
241,139659,159,978,557,0.07709821428571395
242,141035,100,1183,485,0.1615982142857142
243,141254,159,1090,634,0.22059821428571436
244,144983,199,405,402,0.0894017857142857
245,146338,140,267,573,0.10259821428571403
246,147036,100,305,456,0.05959821428571388
247,148990,119,257,573,0.16309821428571425
248,150565,140,286,543,0.06909821428571394
249,150765,299,265,563,0.19359821428571422
250,151223,100,267,560,0.1785982142857141
251,151502,159,292,566,0.11009821428571387
252,151721,140,292,562,0.258098214285714
253,151961,119,272,559,0.13359821428571372
254,152160,160,293,543,0.3375982142857139
255,152958,100,278,553,0.07359821428571411
256,153297,140,251,571,0.13359821428571417
257,153815,100,511,414,0.18309821428571382
258,154034,179,260,553,0.14709821428571423
259,154513,140,232,549,
260,154692,140,232,553,0.09209821428571408
261,154951,160,277,459,0.05559821428571432
262,155390,120,280,429,0.07190178571428607
263,155669,139,325,421,0.08640178571428603
264,155848,100,328,441,
265,156227,140,258,549,0.037098214285713915
266,156387,120,252,549,0.08790178571428608
267,156566,140,301,425,0.008098214285714
268,156826,140,517,438,0.08390178571428564
269,157025,100,526,422,
270,157244,120,566,427,0.01909821428571412
271,157424,279,567,424,
272,157982,259,592,427,0.17390178571428594
273,158261,140,589,424,0.2784017857142862
274,158660,100,609,418,0.2789017857142859
275,159178,259,507,437,0.1804017857142859
276,161112,120,1004,498,0.05740178571428611
277,161291,279,1045,500,0.0934017857142857
278,161650,219,1090,517,0.11990178571428611
279,161929,100,1106,505,0.08340178571428591
280,162308,120,1079,602,0.04190178571428582
281,162468,120,1069,632,0.12090178571428556
282,162727,140,998,571,0.12590178571428545
283,162926,139,997,569,0.07440178571428602
284,163844,100,969,563,
285,164860,100,549,370,0.10140178571428571
286,166974,179,1006,512,0.006401785714285957
287,167572,120,1026,592,0.12209821428571388
288,168449,159,533,399,0.055401785714286333
289,168908,179,272,211,0.22340178571428604
